scaff	start	end	gene	haplo	order	Ds	SEDs	Dn	SEDn	geneY.x	ortho	geneY.y	St	orderchp
Mvlyc1064A1_A1	1057	1350	Mvlyc1064A1_A1_g1.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1285.t1	OG0000917	Mvlyc1064A1_A2_g1285.t1	1057	1
Mvlyc1064A1_A1	2563	5561	Mvlyc1064A1_A1_g2.t1	Mvlyc1064A1	N	NA	NA	NA	NA	NA	NA	NA	2563	2
Mvlyc1064A1_A1	5626	6744	Mvlyc1064A1_A1_g3.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1287.t1	OG0000918	Mvlyc1064A1_A2_g1287.t1	5626	3
Mvlyc1064A1_A1	7783	9991	Mvlyc1064A1_A1_g5.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1289.t1	OG0000919	Mvlyc1064A1_A2_g1289.t1	7783	4
Mvlyc1064A1_A1	10297	11118	Mvlyc1064A1_A1_g6.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1290.t1	OG0000920	Mvlyc1064A1_A2_g1290.t1	10297	5
Mvlyc1064A1_A1	11416	12757	Mvlyc1064A1_A1_g7.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1291.t1	OG0000921	Mvlyc1064A1_A2_g1291.t1	11416	6
Mvlyc1064A1_A1	13778	17299	Mvlyc1064A1_A1_g8.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1292.t1	OG0000922	Mvlyc1064A1_A2_g1292.t1	13778	7
Mvlyc1064A1_A1	17742	19664	Mvlyc1064A1_A1_g9.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1293.t1	OG0000923	Mvlyc1064A1_A2_g1293.t1	17742	8
Mvlyc1064A1_A1	21256	22638	Mvlyc1064A1_A1_g10.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1294.t1	OG0000924	Mvlyc1064A1_A2_g1294.t1	21256	9
Mvlyc1064A1_A1	23008	23388	Mvlyc1064A1_A1_g11.t1	Mvlyc1064A1	N	0	0	0	0	Mvlyc1064A1_A2_g1295.t1	OG0000925	Mvlyc1064A1_A2_g1295.t1	23008	10
